第一章 星空中的青铜巨棺
第二章 素问
第三章 今昔
第四章 荒古铜刻
第五章 李小曼
第六章 封禅之地
第七章 五色祭坛
第八章 星空古路
第九章 铜棺内第三十人
第十章 苍茫大地
第十一章 光源
第十二章 荧惑
第十三章 天宫遗址
第十四章 大雷音寺
第十五章 菩提
第十六章 如神祗临尘
第十七章 生死
第十八章 对立
第十九章 从容
第二十章 鳄祖
第二十一章 血祭
第二十二章 铜棺镇妖
第二十三章 棺中
第二十四章 对峙与选择
第二十五章 神音如钟
第二十六章 古代的星空图
第二十七章 荒古禁
第二十八章 神秘果实
第二十九章 怒
第三十章 阿猫阿狗
第三十一章 扔进虎穴
第三十二章 弹指红颜老
第三十三章 韶华白首
第三十四章 荒之传说
第三十五章 这样的世界
第三十六章 荒古圣体
第三十七章 灵墟洞天
第三十八章 什么是修行
第三十九章 生命之轮
第四十章 道经
第四十一章 开辟苦海
第四十二章 倒栽葱
第四十三章 神纹
第四十四章 仙苗
第四十五章 百草液
第四十六章 金色的苦海
第四十七章 艰难
第四十八章 不存于世间的古经
第四十九章 良莠不齐
第五十章 玉蛇兰
第五十一章 一日三秋
第五十二章 深不可测
第五十三章 韩长老
第五十四章 古殿
第五十五章 妖帝坟冢
第五十六章 心动
第五十七章 一页金书
第五十八章 金书镇苦海
第五十九章 妖帝之心
第六十章 八方云动
第六十一章 完美女子
第六十二章 妖帝墓裂
第六十三章 无良道士
第六十四章 谋妖族至宝
第六十五章 神秘绿铜
第六十六章 阳墓与阴坟
第六十七章 荒塔与绿铜
第六十八章 乌金猿
第六十九章 开启杀局
第七十章 离开
第七十一章 留下来
第七十二章 心中的希望
第七十三章 借菩提观道经
第七十四章 四大境界
第七十五章 体若无底洞
第七十六章 怒发冲冠
第七十七章 九州重器
第七十八章 解决
第七十九章 摹刻道纹
第八十章 夺源
第八十一章 寻找姜姓
第八十二章 荒古姜家
第八十三章 谁人可挡
第八十四章 强势
第八十五章 危机来临
第八十六章 生死险境
第八十七章 相逢李小曼
第八十八章 淡然相对
第八十九章 紫阳洞天
第九十章 头也不回的远去
第九十一章 人生何处不相逢
第九十二章 主药
第九十三章 炼人为药
第九十四章 古人诚不我欺
第九十五章 云蒸霞蔚
第九十六章 人生大恨
第九十七章 晋升命泉境界
第九十八章 一器破万法
第九十九章 物以类聚
第一百章 满地找牙
第一百零一章 鼎威
第一百零二章 预言成真
第一百零三章 青铜巨棺又现
第一百零四章 禁地内六千年前的人
第一百零五章 打神桥修士的脸
第一百零六章 无人可挡
第一百零七章 登上圣山
第一百零八章 天璇圣女
